"code","name"
1,"FACTURAS A"
2,"NOTAS DE DEBITO A"
3,"NOTAS DE CREDITO A"
4,"RECIBOS A"
5,"NOTAS DE VENTA AL CONTADO A"
6,"FACTURAS B"
7,"NOTAS DE DEBITO B"
8,"NOTAS DE CREDITO B"
9,"RECIBOS B"
10,"NOTAS DE VENTA AL CONTADO B"
11,"FACTURAS C"
12,"NOTAS DE DEBITO C"
13,"NOTAS DE CREDITO C"
14,"DOCUMENTO ADUANERO"
15,"RECIBOS C"
16,"NOTAS DE VENTA AL CONTADO C"
19,"FACTURAS DE EXPORTACION"
20,"NOTAS DE DEBITO POR OPERACIONES CON EL EXTERIOR"
21,"NOTAS DE CREDITO POR OPERACIONES CON EL EXTERIOR"
22,"FACTURAS - PERMISO EXPORTACION SIMPLIFICADO - DTO. 855/97"
30,"COMPROBANTES DE COMPRA DE BIENES USADOS"
31,"MANDATO - CONSIGNACION"
32,"COMPROBANTES PARA RECICLAR MATERIALES"
34,"COMPROBANTES A DEL APARTADO A  INCISO F  R G  N  1415"
35,"COMPROBANTES B DEL ANEXO I, APARTADO A, INC. F), RG N° 1415"
36,"COMPROBANTES C DEL Anexo I, Apartado A, INC.F), R.G. N° 1415"
37,"NOTAS DE DEBITO O DOCUMENTO EQUIVALENTE QUE CUMPLAN CON LA R.G. N° 1415"
38,"NOTAS DE CREDITO O DOCMENTO EQUIVALENTE QUE CUMPLAN CON LA R.G. N° 1415"
39,"OTROS COMPROBANTES A QUE CUMPLEN CON LA R G  1415"
40,"OTROS COMPROBANTES B QUE CUMPLAN CON LA R.G. N° 1415"
41,"OTROS COMPROBANTES C QUE CUMPLAN CON LA R.G. N° 1415"
50,"RECIBO FACTURA A  REGIMEN DE FACTURA DE CREDITO"
51,"FACTURAS M"
52,"NOTAS DE DEBITO M"
53,"NOTAS DE CREDITO M"
54,"RECIBOS M"
55,"NOTAS DE VENTA AL CONTADO M"
56,"COMPROBANTES M DEL ANEXO I  APARTADO A  INC F   R G  N  1415"
57,"OTROS COMPROBANTES M QUE CUMPLAN CON LA R G  N  1415"
58,"CUENTAS DE VENTA Y LIQUIDO PRODUCTO M"
59,"LIQUIDACIONES M"
60,"CUENTAS DE VENTA Y LIQUIDO PRODUCTO A"
61,"CUENTAS DE VENTA Y LIQUIDO PRODUCTO B"
63,"LIQUIDACIONES A"
64,"LIQUIDACIONES B"
65,"NOTAS DE CREDITO DE COMPROBANTES CON COD. 34, 39, 58, 59, 60, 63, 96, 97,"
66,"DESPACHO DE IMPORTACION"
67,"IMPORTACION DE SERVICIOS"
68,"LIQUIDACION C"
70,"RECIBOS FACTURA DE CREDITO"
71,"CREDITO FISCAL POR CONTRIBUCIONES PATRONALES"
73,"FORMULARIO 1116 RT"
74,"CARTA DE PORTE PARA EL TRANSPORTE AUTOMOTOR PARA GRANOS"
75,"CARTA DE PORTE PARA EL TRANSPORTE FERROVIARIO PARA GRANOS"
80,"COMPROBANTE DIARIO DE CIERRE (ZETA)"
81,"TIQUE FACTURA A   CONTROLADORES FISCALES"
82,"TIQUE - FACTURA B"
83,"TIQUE"
84,"COMPROBANTE   FACTURA DE SERVICIOS PUBLICOS   INTERESES FINANCIEROS"
85,"NOTA DE CREDITO   SERVICIOS PUBLICOS   NOTA DE CREDITO CONTROLADORES FISCALES"
86,"NOTA DE DEBITO   SERVICIOS PUBLICOS"
87,"OTROS COMPROBANTES - SERVICIOS DEL EXTERIOR"
88,"OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS / REMITO ELECTRONICO,"
89,"OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS - NOTAS DE DEBITO / RESUMEN DE DATOS"
90,"OTROS COMPROBANTES - DOCUMENTOS EXCEPTUADOS - NOTAS DE CREDITO"
91,"REMITOS R"
92,"AJUSTES CONTABLES QUE INCREMENTAN EL DEBITO FISCAL"
93,"AJUSTES CONTABLES QUE DISMINUYEN EL DEBITO FISCAL"
94,"AJUSTES CONTABLES QUE INCREMENTAN EL CREDITO FISCAL"
95,"AJUSTES CONTABLES QUE DISMINUYEN EL CREDITO FISCAL"
96,"FORMULARIO 1116 B"
97,"FORMULARIO 1116 C"
99,"OTROS COMP  QUE NO CUMPLEN CON LA R G  3419 Y SUS MODIF"
101,"AJUSTE ANUAL PROVENIENTE DE LA  D J  DEL IVA  POSITIVO"
102,"AJUSTE ANUAL PROVENIENTE DE LA  D J  DEL IVA  NEGATIVO"
103,"NOTA DE ASIGNACION"
104,"NOTA DE CREDITO DE ASIGNACION"
